date,Continued Jobless Claims
2003-05-01,947.2
2003-06-01,947.1
2003-07-01,940.2
2003-08-01,933.3
2003-09-01,928.7
2003-10-01,922
2003-11-01,913
2003-12-01,906
2004-01-01,899.2
2004-02-01,892.1
2004-03-01,881
2004-04-01,871.9
2004-05-01,858.1
2004-06-01,846.9
2004-07-01,836.4
2004-08-01,834.5
2004-09-01,832.9
2004-10-01,831.5
2004-11-01,829.5
2004-12-01,826.1
2005-01-01,823.7
2005-02-01,821.7
2005-03-01,830.1
2005-04-01,840.3
2005-05-01,854.1
2005-06-01,863.2
2005-07-01,866.7
2005-08-01,868.2
2005-09-01,876.1
2005-10-01,888.2
2005-11-01,900.9
2005-12-01,908.1
2006-01-01,913.5
2006-02-01,923.8
2006-03-01,935.8
2006-04-01,945.4
2006-05-01,950.8
2006-06-01,955.7
2006-07-01,956.7
2006-08-01,951.4
2006-09-01,958.1
2006-10-01,958.5
2006-11-01,949.2
2006-12-01,939.9
2007-01-01,925.6
2007-02-01,911.5
2007-03-01,896.8
2007-04-01,878.2
2007-05-01,870.8
2007-06-01,861.9
2007-07-01,856.3
2007-08-01,851.3
2007-09-01,844.5
2007-10-01,836.3
2007-11-01,825.2
2007-12-01,815.2
2008-01-01,792
2008-02-01,778.4
2008-03-01,778.5
2008-04-01,792.4
2008-05-01,814.7
2008-06-01,848.7
2008-07-01,882.7
2008-08-01,924.9
2008-09-01,968.6
2008-10-01,"1,012.30"
2008-11-01,"1,100.40"
2008-12-01,"1,179.40"
2009-01-01,"1,240.80"
2009-02-01,"1,383.60"
2009-03-01,"1,457.10"
2009-04-01,"1,510.80"
2009-05-01,"1,549.40"
2009-06-01,"1,571.90"
2009-07-01,"1,585.80"
2009-08-01,"1,600.80"
2009-09-01,"1,609.70"
2009-10-01,"1,618.50"
2009-11-01,"1,610.40"
2009-12-01,"1,593.40"
2010-01-01,"1,609.00"
2010-02-01,"1,576.50"
2010-03-01,"1,548.60"
2010-04-01,"1,526.10"
2010-05-01,"1,494.80"
2010-06-01,"1,471.30"
2010-07-01,"1,458.20"
2010-08-01,"1,457.30"
2010-09-01,"1,457.10"
2010-10-01,"1,451.00"
2010-11-01,"1,452.40"
2010-12-01,"1,454.00"
2011-01-01,"1,461.80"
2011-02-01,"1,458.50"
2011-03-01,"1,463.50"
2011-04-01,"1,484.70"
2011-05-01,"1,500.40"
2011-06-01,"1,519.50"
2011-07-01,"1,555.10"
2011-08-01,"1,576.70"
2011-09-01,"1,596.00"
2011-10-01,"1,595.70"
2011-11-01,"1,599.20"
2011-12-01,"1,601.80"
2012-01-01,"1,609.90"
2012-02-01,"1,609.50"
2012-03-01,"1,606.70"
2012-04-01,"1,582.60"
2012-05-01,"1,585.50"
2012-06-01,"1,589.30"
2012-07-01,"1,583.70"
2012-08-01,"1,571.40"
2012-09-01,"1,571.30"
2012-10-01,"1,579.80"
2012-11-01,"1,576.90"
2012-12-01,"1,560.30"
2013-01-01,"1,550.00"
2013-02-01,"1,544.60"
2013-03-01,"1,530.60"
2013-04-01,"1,510.50"
2013-05-01,"1,489.80"
2013-06-01,"1,461.90"
2013-07-01,"1,428.40"
2013-08-01,"1,392.80"
2013-09-01,"1,342.60"
2013-10-01,"1,297.70"
2013-11-01,"1,263.80"
2013-12-01,"1,242.00"
2014-01-01,"1,221.40"
2014-02-01,"1,187.20"
2014-03-01,"1,152.50"
2014-04-01,"1,119.80"
2014-05-01,"1,085.50"
2014-06-01,"1,042.10"
2014-07-01,"1,008.80"
2014-08-01,971.7
2014-09-01,947.4
2014-10-01,922.5
2014-11-01,897.9
2014-12-01,876.6
2015-01-01,855.5
2015-02-01,834.7
2015-03-01,814.8
2015-04-01,804.7
2015-05-01,795.8
2015-06-01,794.7
2015-07-01,790.9
2015-08-01,785.2
2015-09-01,780.6
2015-10-01,776.9
2015-11-01,771.5
2015-12-01,769.6
2016-01-01,764.8
2016-02-01,758.5
2016-03-01,766.5
2016-04-01,765.1
2016-05-01,767.3
2016-06-01,772.4
2016-07-01,772.1
2016-08-01,776.7
2016-09-01,779.6
2016-10-01,783
2016-11-01,787.2
2016-12-01,780.5
2017-01-01,772.3
2017-02-01,768.3
2017-03-01,782.8
2017-04-01,791.7
2017-05-01,795.2
2017-06-01,797
2017-07-01,797.3
2017-08-01,797.7
2017-09-01,800.5
2017-10-01,804.1
2017-11-01,811.5
2017-12-01,824
2018-01-01,832.9
2018-02-01,842.8
2018-03-01,854.6
2018-04-01,866.2
2018-05-01,880.1
2018-06-01,881.4
2018-07-01,892.2
2018-08-01,904.1
2018-09-01,926.4
2018-10-01,951.1
2018-11-01,973.3
2018-12-01,"1,000.50"
2019-01-01,"1,019.10"
2019-02-01,"1,039.70"
2019-03-01,"1,059.40"
