date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2022-11-22,S&P 500,27457,114654,-3118,-10175,6,24.9
2022-11-29,S&P 500,28399,112267,942,-2387,6.1,24.3
2022-12-06,S&P 500,24236,110509,-4163,-1758,5.3,24.2
2022-12-13,S&P 500,22210,117516,-2026,7007,4.5,23.7
2022-12-20,S&P 500,32129,75826,9919,-41690,8.1,19.1
2022-12-27,S&P 500,28584,77939,-3545,2113,7.3,19.9
2023-01-03,S&P 500,31086,86329,2502,8390,7.7,21.5
2023-01-10,S&P 500,30055,93120,-1031,6791,7.4,22.9
2023-01-17,S&P 500,28136,105385,-1919,12264,6.8,25.6
2023-01-24,S&P 500,28231,103266,95,-2119,7,25.5
2023-01-31,S&P 500,28879,108131,648,4866,7,26.2
2023-02-07,S&P 500,27405,105871,-1474,-2261,6.7,25.8
2023-02-14,S&P 500,25810,108487,-1596,2617,6.2,26.1
2023-02-21,S&P 500,28786,99749,2976,-8738,6.9,24
2023-02-28,S&P 500,33688,93472,4902,-6277,8,22.1
2023-03-07,S&P 500,29795,90633,-3893,-2839,7,21.2
2023-03-14,S&P 500,30339,80792,543,-9841,5.9,15.8
2023-03-21,S&P 500,16349,108689,-13990,27896,3.8,25.3
2023-03-28,S&P 500,17482,107566,1133,-1123,4.1,25.1
2023-04-04,S&P 500,18503,131666,1022,24099,4.2,29.7
2023-04-11,S&P 500,23816,130000,5313,-1666,5.3,28.9
2023-04-18,S&P 500,23921,133380,105,3380,5.2,29.3
2023-04-25,S&P 500,28488,123502,4568,-9878,6.3,27.3
2023-05-02,S&P 500,131734,588857,103245,465355,5.7,25.6
2023-05-09,S&P 500,135379,637987,3645,49130,5.8,27.4
2023-05-16,S&P 500,122528,611310,-12851,-26677,5.2,26.1
2023-05-23,S&P 500,158512,663114,35985,51804,6.5,27.4
2023-05-30,S&P 500,176827,693822,18314,30709,7,27.4
2023-06-06,S&P 500,170267,728831,-6560,35009,6.7,28.6
2023-06-13,S&P 500,162240,680616,-8027,-48216,5.5,23
2023-06-20,S&P 500,127322,506274,-34919,-174342,5.7,22.7
2023-06-27,S&P 500,137504,449188,10182,-57086,6.2,20.4
2023-07-03,S&P 500,170351,455934,32847,6746,7.6,20.5
2023-07-11,S&P 500,173871,471990,3520,16056,7.8,21.2
2023-07-18,S&P 500,174361,548489,490,76499,7.6,23.8
2023-07-25,S&P 500,157181,549819,-17180,1330,6.9,24.3
2023-08-01,S&P 500,149033,520351,-8148,-29469,6.6,23
2023-08-08,S&P 500,170759,487930,21726,-32421,7.6,21.7
2023-08-15,S&P 500,147548,432293,-23211,-55637,6.6,19.2
2023-08-22,S&P 500,120968,447187,-26580,14894,5.4,19.8
2023-08-29,S&P 500,139155,483323,18187,36136,6.1,21.1
2023-09-05,S&P 500,125462,451616,-13693,-31707,5.5,19.8
2023-09-12,S&P 500,177330,416335,51867,-35280,7,16.3
2023-09-19,S&P 500,97053,418854,-80277,2518,4.6,19.9
2023-09-26,S&P 500,151252,437942,54199,19088,7,20.4
2023-10-03,S&P 500,131552,399462,-19700,-38479,6.1,18.6
2023-10-10,S&P 500,112170,399379,-19383,-83,5.4,19.1
2023-10-17,S&P 500,118831,384178,6662,-15201,5.6,18
2023-10-24,S&P 500,160102,363319,41271,-20860,7.4,16.7
2023-10-31,S&P 500,146121,383423,-13981,20104,6.7,17.5
2023-11-07,S&P 500,168252,442153,22130,58731,7.7,20.1
2023-11-14,S&P 500,178571,469104,10319,26951,8.1,21.2
2023-11-21,S&P 500,164118,474549,-14452,5444,7.3,21
2023-11-28,S&P 500,172624,490862,8506,16313,7.5,21.4
2023-12-05,S&P 500,160179,510568,-12446,19706,6.9,21.9
2023-12-12,S&P 500,184974,545510,24795,34943,6.9,20.3
2023-12-19,S&P 500,155337,462928,-29637,-82582,7.2,21.4
2023-12-26,S&P 500,145304,501011,-10033,38083,6.7,23.1
2024-01-02,S&P 500,147532,537745,2228,36734,6.6,24.1
2024-01-09,S&P 500,162683,470085,15151,-67660,7.3,21.1
2024-01-16,S&P 500,154507,447414,-8176,-22671,6.9,20
2024-01-23,S&P 500,179526,567605,25019,120191,7.8,24.8
2024-01-30,S&P 500,177373,602100,-2153,34495,7.6,25.9
2024-02-06,S&P 500,164162,571760,-13211,-30340,7.1,24.7
2024-02-13,S&P 500,178718,553828,14557,-17932,7.6,23.5
2024-02-20,S&P 500,150669,563369,-28049,9541,6.4,24.1
2024-02-27,S&P 500,167675,595974,17005,32605,7.1,25.2
2024-03-05,S&P 500,181513,582809,13839,-13165,7.6,24.3
2024-03-12,S&P 500,154339,639270,-27174,56461,5.7,23.6
2024-03-19,S&P 500,114319,544704,-40020,-94566,5.4,25.8
2024-03-26,S&P 500,117757,571262,3438,26559,5.5,26.8
2024-04-02,S&P 500,151898,515220,34141,-56042,7.2,24.4
2024-04-09,S&P 500,153065,486131,1167,-29089,7.2,23
2024-04-16,S&P 500,222141,416715,69076,-69416,10.5,19.6
2024-04-23,S&P 500,194277,392951,-27865,-23765,9.3,18.8
2024-04-30,S&P 500,169983,359038,-24293,-33913,8.4,17.7
2024-05-07,S&P 500,162959,415080,-7024,56042,7.9,20.2
2024-05-14,S&P 500,160172,443822,-2787,28742,7.6,21.1
2024-05-21,S&P 500,168594,492963,8422,49141,7.7,22.7
2024-05-28,S&P 500,175982,506487,7388,13524,8,22.9
2024-06-04,S&P 500,159209,493896,-16773,-12590,7.3,22.6
2024-06-11,S&P 500,157028,511028,-2181,17131,6.8,22.3
2024-06-18,S&P 500,169695,527840,12666,16813,6.5,20.1
2024-06-25,S&P 500,134364,424451,-35331,-103389,6.8,21.4
2024-07-02,S&P 500,174079,451285,39715,26834,8.5,22
2024-07-09,S&P 500,155137,480425,-18942,29140,7.5,23.3
2024-07-16,S&P 500,178519,531786,23382,51361,8.5,25.3
2024-07-23,S&P 500,196230,472365,17711,-59421,9.5,22.9
2024-07-30,S&P 500,201842,449053,5613,-23312,9.8,21.8
2024-08-06,S&P 500,223745,437494,21903,-11559,11,21.5
2024-08-13,S&P 500,174872,453937,-48874,16443,8.5,22.2
2024-08-20,S&P 500,184176,539003,9304,85066,8.9,26.1
2024-08-27,S&P 500,208172,551392,23997,12389,9.8,26.1
2024-09-03,S&P 500,224272,495136,16100,-56256,10.6,23.3
2024-09-10,S&P 500,232210,486419,7938,-8717,10.7,22.4
2024-09-17,S&P 500,195393,548948,-36817,62529,7.5,21.1
2024-09-24,S&P 500,167965,488161,-27428,-60788,8.2,23.7
2024-10-01,S&P 500,174674,474796,6710,-13365,8.3,22.7
2024-10-08,S&P 500,172526,499150,-2148,24354,8,23.3
2024-10-15,S&P 500,187137,502109,14611,2960,8.5,22.8
2024-10-22,S&P 500,199213,494746,12075,-7364,9,22.5
2024-10-29,S&P 500,188520,474454,-10693,-20292,8.6,21.7
2024-11-05,S&P 500,238391,423283,49871,-51171,11,19.6
2024-11-12,S&P 500,218884,487384,-19507,64101,9.7,21.6
2024-11-19,S&P 500,231926,478807,13042,-8577,10.2,21
2024-11-26,S&P 500,167735,467372,-64191,-11435,7.3,20.4
2024-12-03,S&P 500,161513,514085,-6223,46713,7,22.3
2024-12-10,S&P 500,187805,478394,26293,-35691,8,20.4
2024-12-17,S&P 500,216575,464444,28770,-13951,8.3,17.7
2024-12-24,S&P 500,157251,489859,-59325,25416,7.5,23.4
2024-12-31,S&P 500,152000,477736,-5251,-12124,7.3,23.1
2025-01-07,S&P 500,149925,490740,-2075,13004,7.2,23.6
2025-01-14,S&P 500,150826,451571,901,-39169,7.3,22
2025-01-21,S&P 500,136276,526690,-14551,75119,6.7,25.7
2025-01-28,S&P 500,119780,518978,-16495,-7712,5.9,25.4
2025-02-04,S&P 500,174823,501357,55043,-17621,8.4,24
2025-02-11,S&P 500,190561,549376,15737,48019,9,26
2025-02-18,S&P 500,194000,550140,3439,764,9.1,25.8
2025-02-25,S&P 500,185543,523860,-8457,-26280,8.6,24.4
2025-03-04,S&P 500,240489,528463,54946,4603,10.9,24
2025-03-11,S&P 500,269887,461887,29399,-66577,11.7,20
2025-03-18,S&P 500,238285,423487,-31603,-38400,9.2,16.3
2025-03-25,S&P 500,167647,403415,-70638,-20072,8,19.4
2025-04-01,S&P 500,169150,432438,1503,29023,8,20.4
2025-04-08,S&P 500,214605,487023,45454,54585,9.1,20.7
2025-04-15,S&P 500,158122,391325,-56483,-95698,7.2,17.8
2025-04-22,S&P 500,169005,421326,10883,30001,7.6,18.9
2025-04-29,S&P 500,147981,398154,-21024,-23172,6.9,18.5
2025-05-06,S&P 500,154731,414498,6750,16343,7.2,19.3
2025-05-13,S&P 500,157321,443939,2590,29441,7.3,20.7
2025-05-20,S&P 500,147979,443912,-9341,-28,6.9,20.8
2025-05-27,S&P 500,164254,420920,16275,-22992,7.7,19.8
2025-06-03,S&P 500,158686,444233,-5569,23314,7.4,20.8
2025-06-10,S&P 500,148966,462641,-9719,18408,6.6,20.6
2025-06-17,S&P 500,151112,477994,2146,15353,6.1,19.3
2025-06-24,S&P 500,138406,413729,-12707,-64265,7.3,21.8
2025-07-01,S&P 500,143778,447202,5372,33473,7.6,23.5
2025-07-08,S&P 500,147316,492728,3538,45526,7.7,25.7
2025-07-15,S&P 500,164743,509184,17427,16456,8.4,26.1
2025-07-22,S&P 500,146493,486440,-18250,-22744,7.6,25.1
2025-07-29,S&P 500,158368,522546,11875,36106,8.1,26.6
2025-08-05,S&P 500,147105,478564,-11263,-43982,7.6,24.8
2025-08-12,S&P 500,133667,525741,-13438,47177,6.7,26.4
2025-08-19,S&P 500,142386,513362,8719,-12380,7.1,25.7
2025-08-26,S&P 500,130322,555910,-12064,42548,6.4,27.2
2025-09-02,S&P 500,131317,516857,995,-39053,6.5,25.6
2025-09-09,S&P 500,120061,540571,-11256,23714,5.8,26.2
2025-09-16,S&P 500,120809,598620,748,58049,4.9,24.3
2025-09-23,S&P 500,113786,566058,-7023,-32562,5.8,28.8
