date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2021-06-22,Gold,110038,47502,-28508,5748,24.2,10.5
2021-06-29,Gold,115438,54056,5400,6554,25.5,11.9
2021-07-06,Gold,131218,53258,15780,-798,28.2,11.4
2021-07-13,Gold,135938,49647,4720,-3611,27.4,10
2021-07-20,Gold,135163,44735,-775,-4912,27.6,9.1
2021-07-27,Gold,131635,41405,-3528,-3330,26.3,8.3
2021-08-03,Gold,132920,43047,1285,1642,27.4,8.9
2021-08-10,Gold,111892,76489,-21028,33442,23.4,16
2021-08-17,Gold,117272,58194,5380,-18295,24.2,12
2021-08-24,Gold,126636,51192,9364,-7002,25.1,10.1
2021-08-31,Gold,136555,54878,9919,3686,26.9,10.8
2021-09-07,Gold,129044,61449,-7511,6571,25.5,12.1
2021-09-14,Gold,130837,59615,1793,-1834,25.8,11.8
2021-09-21,Gold,119777,72933,-11060,13318,24.3,14.8
2021-09-28,Gold,118923,88062,-854,15129,24.2,17.9
2021-10-05,Gold,126745,72579,7822,-15483,26.2,15
2021-10-12,Gold,131668,73149,4923,570,27.2,15.1
2021-10-19,Gold,124560,66761,-7108,-6388,25.6,13.7
2021-10-26,Gold,141280,54918,16720,-11843,27.7,10.8
2021-11-02,Gold,136944,51705,-4336,-3213,27,10.2
2021-11-09,Gold,168133,42523,31189,-9182,29.4,7.4
2021-11-16,Gold,185468,43083,17335,560,30.3,7
2021-11-23,Gold,152273,46934,-33195,3851,27.2,8.4
2021-11-30,Gold,137469,45384,-14804,-1550,25.8,8.5
2021-12-07,Gold,125067,44326,-12402,-1058,25,8.9
2021-12-14,Gold,121492,58075,-3575,13749,24.1,11.5
2021-12-21,Gold,124120,52372,2628,-5703,24.8,10.5
2021-12-28,Gold,130389,46726,6269,-5646,25.6,9.2
2022-01-04,Gold,124252,44744,-6137,-1982,24.7,8.9
2022-01-11,Gold,119297,44987,-4955,243,21.8,8.2
2022-01-18,Gold,119807,48014,510,3027,22.2,8.9
2022-01-25,Gold,140640,39265,20833,-8749,24.6,6.9
2022-02-01,Gold,108309,58395,-32331,19130,21,11.3
2022-02-08,Gold,117234,47767,8925,-10628,22.9,9.3
2022-02-15,Gold,151530,43824,34296,-3943,27.1,7.8
2022-02-22,Gold,183356,44380,31826,556,30,7.3
2022-03-01,Gold,187215,38594,3859,-5786,30.4,6.3
2022-03-08,Gold,181510,38537,-5705,-57,28.4,6
2022-03-15,Gold,165597,39060,-15913,523,26.8,6.3
2022-03-22,Gold,152589,37457,-13008,-1603,25.2,6.2
