date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2023-06-27,Silver,33247,22341,-4042,-4692,26.9,18.1
2023-07-03,Silver,32849,23053,-398,712,28.7,20.1
2023-07-11,Silver,31522,26024,-1327,2971,26.2,21.6
2023-07-18,Silver,53781,24092,22259,-1932,36.6,16.4
2023-07-25,Silver,48131,28530,-5650,4438,32.8,19.4
2023-08-01,Silver,44578,31920,-3553,3390,30.9,22.1
2023-08-08,Silver,31985,35766,-12593,3846,23.2,26
2023-08-15,Silver,31710,38380,-275,2614,22.9,27.8
2023-08-22,Silver,36497,35114,4787,-3266,26.7,25.7
2023-08-29,Silver,43477,26998,6980,-8116,32.2,20
2023-09-05,Silver,38143,24795,-5334,-2203,29.7,19.3
2023-09-12,Silver,31715,31147,-6428,6352,25.3,24.9
2023-09-19,Silver,32700,31346,985,199,26,24.9
2023-09-26,Silver,32719,27452,19,-3894,25.9,21.8
2023-10-03,Silver,29421,31671,-3298,4219,23.4,25.2
2023-10-10,Silver,29895,34842,474,3171,23.5,27.4
2023-10-17,Silver,31027,27701,1132,-7141,25.1,22.4
2023-10-24,Silver,29617,22373,-1410,-5328,23.9,18
2023-10-31,Silver,28019,23384,-1598,1011,22.1,18.5
2023-11-07,Silver,25457,25107,-2562,1723,19.4,19.2
2023-11-14,Silver,30527,23822,5070,-1285,22.6,17.7
2023-11-21,Silver,33308,21839,2781,-1983,24.8,16.3
2023-11-28,Silver,45604,21842,12296,3,32.8,15.7
2023-12-05,Silver,43852,22322,-1752,480,31.4,16
2023-12-12,Silver,33472,24805,-10380,2483,24.9,18.5
2023-12-19,Silver,34931,20060,1459,-4745,27.4,15.7
2023-12-26,Silver,36546,19749,1615,-311,27.8,15
2024-01-02,Silver,38424,22367,1878,2618,28.5,16.6
2024-01-09,Silver,32392,24044,-6032,1677,24.5,18.2
2024-01-16,Silver,31698,25475,-694,1431,24,19.3
2024-01-23,Silver,29434,32088,-2264,6613,21.2,23.1
2024-01-30,Silver,32840,28509,3406,-3579,24.1,20.9
2024-02-06,Silver,32101,36700,-739,8191,21.8,24.9
2024-02-13,Silver,33004,41987,903,5287,21.6,27.5
2024-02-20,Silver,36252,31327,3248,-10660,24.7,21.4
2024-02-27,Silver,33292,37375,-2960,6048,23.1,25.9
2024-03-05,Silver,40556,25744,7264,-11631,28.8,18.3
2024-03-12,Silver,45521,19727,4965,-6017,31.5,13.6
