date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2022-05-03,USD DXY,15650,20073,-1029,-3654,28.9,37.1
2022-05-10,USD DXY,16312,23476,662,3403,28.3,40.8
2022-05-17,USD DXY,15761,27530,-551,4054,25.5,44.5
2022-05-24,USD DXY,14301,26386,-1460,-1144,23.1,42.7
2022-05-31,USD DXY,13865,28594,-436,2208,21.7,44.8
2022-06-07,USD DXY,14013,29485,148,891,21.5,45.2
2022-06-14,USD DXY,14507,17750,494,-11735,23.7,29
2022-06-21,USD DXY,14801,14302,294,-3448,25.3,24.4
2022-06-28,USD DXY,17364,17901,2563,3599,27.5,28.3
2022-07-05,USD DXY,17033,14402,-331,-3499,28,23.7
2022-07-12,USD DXY,14423,14037,-2610,-365,24.2,23.6
2022-07-19,USD DXY,14057,13194,-366,-843,23.7,22.3
2022-07-26,USD DXY,13172,13584,-885,390,21.8,22.5
2022-08-02,USD DXY,13143,10360,-29,-3224,23,18.2
2022-08-09,USD DXY,14166,12524,1023,2164,23.8,21
2022-08-16,USD DXY,14635,12164,469,-360,24.8,20.6
2022-08-23,USD DXY,18471,9257,3836,-2907,32.1,16.1
2022-08-30,USD DXY,17470,11114,-1001,1857,29,18.5
2022-09-06,USD DXY,17898,12587,428,1473,29,20.4
2022-09-13,USD DXY,17580,11335,-318,-1252,28.3,18.3
2022-09-20,USD DXY,12881,24995,-4699,13660,23.7,46
2022-09-27,USD DXY,13280,24413,399,-582,23.7,43.6
2022-10-04,USD DXY,13272,22644,-8,-1769,24.3,41.4
2022-10-11,USD DXY,12295,21292,-977,-1352,22.5,39
2022-10-18,USD DXY,9642,21302,-2653,10,17.5,38.6
2022-10-25,USD DXY,13862,25660,4220,4358,23.5,43.5
2022-11-01,USD DXY,15613,21704,1751,-3956,27.9,38.8
2022-11-08,USD DXY,15063,22424,-550,720,26.7,39.8
2022-11-15,USD DXY,13144,15786,-1919,-6638,27.2,32.6
2022-11-22,USD DXY,14488,15808,1344,22,30.4,33.1
2022-11-29,USD DXY,13445,13050,-1043,-2758,28.7,27.9
2022-12-06,USD DXY,14562,11088,1117,-1962,32.3,24.6
2022-12-13,USD DXY,16576,14227,2014,3139,34.5,29.6
2022-12-20,USD DXY,10753,22026,-5823,7799,26,53.2
2022-12-27,USD DXY,11829,22095,1076,69,28.4,53
2023-01-03,USD DXY,12494,21201,665,-894,29.9,50.7
2023-01-10,USD DXY,12617,21903,123,702,29.8,51.8
2023-01-17,USD DXY,11598,18444,-1019,-3459,29.4,46.8
2023-01-24,USD DXY,13230,19913,1632,1469,32.1,48.3
2023-01-31,USD DXY,10256,15356,-2974,-4557,26.9,40.3
2023-02-07,USD DXY,6781,11085,-3475,-4271,20.2,33
2023-02-14,USD DXY,7047,11434,266,349,21.4,34.7
2023-02-21,USD DXY,8237,15485,1190,4051,22.9,43
2023-02-28,USD DXY,7531,17902,-706,2417,20.2,48
2023-03-07,USD DXY,9550,16816,2019,-1086,25.9,45.5
2023-03-14,USD DXY,8558,17535,-992,719,24.3,49.8
2023-03-21,USD DXY,7459,16121,-1099,-1414,22.1,47.7
2023-03-28,USD DXY,7163,13525,-296,-2596,23,43.4
2023-04-04,USD DXY,9549,13000,2386,-525,29.8,40.5
2023-04-11,USD DXY,11406,11380,1857,-1620,34.5,34.4
2023-04-18,USD DXY,11610,10791,204,-589,33.3,31
2023-04-25,USD DXY,10869,10238,-741,-553,31.6,29.7
2023-05-02,USD DXY,10646,8752,-223,-1486,32.5,26.7
2023-05-09,USD DXY,13286,7023,2640,-1729,41.3,21.8
2023-05-16,USD DXY,10645,8116,-2641,1093,34.5,26.3
2023-05-23,USD DXY,9207,9425,-1438,1309,30.5,31.2
2023-05-30,USD DXY,10321,13292,1114,3867,31.9,41.1
2023-06-06,USD DXY,11377,14100,1056,808,33.5,41.6
2023-06-13,USD DXY,10282,12830,-1095,-1270,32.1,40
2023-06-20,USD DXY,9653,6968,-629,-5862,35.4,25.5
2023-06-27,USD DXY,10429,6959,776,-9,37.7,25.1
2023-07-03,USD DXY,9489,6186,-940,-773,35.6,23.2
2023-07-11,USD DXY,11501,6996,2012,810,39.8,24.2
2023-07-18,USD DXY,24791,12991,13290,5995,60.4,31.7
2023-07-25,USD DXY,21468,11550,-3323,-1441,62.2,33.5
2023-08-01,USD DXY,17601,11420,-3867,-130,56,36.3
2023-08-08,USD DXY,15222,11997,-2379,577,52.6,41.5
2023-08-15,USD DXY,10860,12464,-4362,467,40.3,46.2
2023-08-22,USD DXY,11405,20387,545,7923,33.6,60.1
2023-08-29,USD DXY,10391,22553,-1014,2166,28.3,61.4
2023-09-05,USD DXY,10580,20679,189,-1874,28.9,56.5
2023-09-12,USD DXY,11238,20763,658,84,27.4,50.7
2023-09-19,USD DXY,11601,10696,363,-10067,29.6,27.3
2023-09-26,USD DXY,13370,12204,1769,1508,31.6,28.8
2023-10-03,USD DXY,13596,10552,226,-1652,32.1,24.9
2023-10-10,USD DXY,14201,9610,605,-942,34.4,23.3
2023-10-17,USD DXY,14942,12465,741,2855,34.7,29
